2,-0.194972,0.642058,0.530366,1270.85
2,-0.189375,0.656785,0.525621,1316.97
2,-0.185217,0.653991,0.519108,1354.78
2,-0.185136,0.652831,0.513774,1372.63
2,-0.185738,0.653386,0.511583,1376.44
2,-0.181808,0.6522,0.509702,1399.1
2,-0.179564,0.657113,0.503738,1436.28
2,-0.176516,0.655088,0.502354,1445.26
2,-0.175672,0.655712,0.501611,1446.84
2,-0.178861,0.656735,0.496768,1462.39
2,-0.179149,0.655935,0.495345,1467.77
2,-0.1791,0.657169,0.494103,1473.41
2,-0.178636,0.65538,0.492644,1477.71
2,-0.177013,0.654716,0.487105,1512.34
2,-0.175983,0.656128,0.486486,1516.76
2,-0.176947,0.655695,0.485226,1518.83
2,-0.176959,0.655553,0.484359,1519.66
2,-0.175775,0.655951,0.48296,1527.73
2,-0.175495,0.656472,0.482318,1528.94
2,-0.175827,0.656586,0.481428,1530.43
2,-0.175408,0.657278,0.480274,1535.82
2,-0.175584,0.656752,0.478491,1543.23
2,-0.176013,0.656733,0.477548,1545.2
2,-0.173621,0.655749,0.476113,1554.27
2,-0.173694,0.655589,0.475343,1555.48
2,-0.17411,0.655317,0.474521,1555.97
2,-0.17448,0.655416,0.473396,1558.28
2,-0.175218,0.654127,0.472501,1558.9
2,-0.173536,0.655069,0.471408,1564.83
2,-0.172388,0.656504,0.469842,1573.81
2,-0.171247,0.657181,0.469254,1575.79
2,-0.170456,0.657446,0.468435,1578.61
2,-0.168926,0.656855,0.467813,1579.84
2,-0.165186,0.656507,0.466834,1587.21
2,-0.16375,0.65666,0.465681,1592.77
2,-0.164112,0.656036,0.464943,1593.78
2,-0.163552,0.655608,0.464327,1595.1
2,-0.161465,0.654182,0.463185,1599.38
2,-0.160127,0.654291,0.461159,1611.05
2,-0.160049,0.654513,0.460254,1612.45
2,-0.160122,0.654767,0.459644,1612.79
2,-0.160825,0.655208,0.458668,1614.79
2,-0.160886,0.654243,0.458009,1615.92
2,-0.161041,0.653898,0.457217,1616.86
2,-0.161206,0.65425,0.456677,1617.51
2,-0.161036,0.654907,0.455654,1621.23
2,-0.160996,0.656039,0.454888,1622.32
2,-0.161305,0.656147,0.453941,1624.54
2,-0.161479,0.656113,0.453217,1625.29
2,-0.162541,0.658897,0.452103,1628.69
2,-0.159328,0.659883,0.450739,1635.24
2,-0.159205,0.660046,0.45018,1635.81
2,-0.160262,0.660129,0.449278,1637.63
2,-0.160695,0.659743,0.448421,1640.65
2,-0.161751,0.660882,0.447265,1646.32
2,-0.163308,0.661635,0.446112,1649.05
2,-0.162933,0.662327,0.445525,1649.59
2,-0.161193,0.661989,0.444481,1653.15
2,-0.160903,0.662223,0.443824,1654.02
2,-0.162292,0.661929,0.443007,1655.8
2,-0.162544,0.66079,0.442234,1656.99
2,-0.162393,0.660678,0.441683,1657.26
2,-0.162312,0.659672,0.440854,1660.47
2,-0.161893,0.659572,0.440268,1661.09
2,-0.161854,0.659184,0.439684,1661.75
2,-0.161914,0.658139,0.438861,1664.42
2,-0.159572,0.658352,0.437896,1669.02
2,-0.160152,0.658491,0.437241,1669.75
2,-0.160041,0.657898,0.436455,1672.24
2,-0.161023,0.657724,0.435552,1674.1
2,-0.160428,0.659059,0.434841,1676.31
2,-0.160187,0.659071,0.434312,1676.6
2,-0.160338,0.659911,0.433767,1677.31
2,-0.160112,0.660009,0.433138,1679.01
2,-0.159388,0.659781,0.432495,1680.16
2,-0.16018,0.659828,0.4319,1681.43
2,-0.160109,0.659914,0.431282,1681.94
2,-0.160224,0.659373,0.430685,1682.42
2,-0.161227,0.658348,0.429702,1685.76
2,-0.161476,0.658465,0.429119,1686.12
2,-0.161895,0.659879,0.427977,1690.91
2,-0.162852,0.65948,0.427208,1692.69
2,-0.163105,0.65944,0.426699,1693.4
2,-0.162906,0.659122,0.426111,1694.47
2,-0.162538,0.659386,0.425579,1694.9
2,-0.163403,0.658732,0.424654,1698.13
2,-0.164503,0.66009,0.423198,1705.5
2,-0.165504,0.659726,0.42234,1706.97
2,-0.16551,0.659852,0.421767,1707.48
2,-0.164334,0.659103,0.42063,1713.13
2,-0.16507,0.658931,0.420008,1713.96
2,-0.164067,0.658824,0.41953,1714.4
2,-0.1638,0.658921,0.418934,1715.24
2,-0.164495,0.658702,0.418136,1718
2,-0.164733,0.65991,0.417042,1722.83
2,-0.165606,0.660225,0.416401,1723.68
2,-0.167114,0.661542,0.414399,1735.55
2,-0.167304,0.661391,0.413684,1737.33
2,-0.166391,0.661758,0.413211,1738.07
2,-0.166125,0.660738,0.4126,1739.68
2,-0.165244,0.660897,0.411687,1743.27
2,-0.165705,0.660781,0.410945,1744.87
2,-0.16549,0.660319,0.410408,1745.98
2,-0.164955,0.660749,0.409721,1748.61
2,-0.165369,0.662331,0.408999,1752.84
2,-0.16426,0.662297,0.408101,1756.64
2,-0.16499,0.662421,0.407309,1758.76
2,-0.16418,0.663046,0.40665,1762.35
2,-0.166074,0.660685,0.405823,1765.34
2,-0.166317,0.661233,0.404906,1770.18
2,-0.166815,0.661972,0.404153,1772.17
2,-0.166281,0.661685,0.403648,1773
2,-0.165691,0.661662,0.403138,1773.55
2,-0.165802,0.662195,0.402575,1773.95
2,-0.165431,0.662399,0.402023,1774.49
2,-0.165624,0.662206,0.400966,1778.84
2,-0.165433,0.663051,0.400379,1780.08
2,-0.165354,0.664004,0.399724,1782.14
2,-0.165377,0.662739,0.39864,1785.58
2,-0.164195,0.662359,0.39811,1786.14
2,-0.164248,0.662349,0.397462,1787.44
